x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls;h_calls
-1,0944;8,4579;0,997609;3,00623;0,000103546;1;53;53
3,35155;7,36181;1,00347;3,00643;0,000445277;1;51;51
-0,856864;2,68322;0,993301;2,99886;0,000292172;1;44;44
3,87993;-6,54661;1,00197;2,99346;0,000129967;1;57;57
-3,06986;-4,08371;0,996401;2,99374;0,000441208;1;55;55
-7,1146;3,21407;0,992825;3,00019;0,000246708;1;55;55
6,18959;-2,13682;1,00459;2,99546;4,16931e-05;1;55;55
0,998594;-2,94142;0,999998;2,99322;0,000230186;1;53;53
4,1235;9,94961;1,00276;3,00614;0,000362693;1;55;55
-2,2951;-2,28437;0,996238;2,99397;0,000434393;1;53;53
-5,17598;-0,515146;0,993795;2,99647;0,000430241;1;54;54
-1,34485;-0,166483;0,996071;2,99469;0,000384649;1;50;50
-6,81147;-6,38666;0,995858;2,99502;0,000374572;1;59;59
-3,09219;0,857273;0,993966;2,99684;0,000384414;1;51;51
-2,25961;4,67449;0,993794;3,00319;8,51118e-05;1;49;49
7,73203;8,65575;1,00524;3,0044;0,00041843;1;56;56
-6,26422;-5,78192;0,995623;2,99471;0,00042109;1;58;58
-0,131296;5,31974;0,996839;3,00648;9,60922e-05;1;46;46
7,47864;3,56953;1,00651;3,00057;0,000243306;1;54;54
1,24577;5,03167;1,00078;3,00645;0,000251334;1;45;45
-3,6033;0,196318;0,994027;2,99636;0,000418343;1;52;52
3,81939;-9,50901;1,00149;2,99337;0,000151821;1;59;59
-0,445135;8,64633;0,99835;3,00645;0,000136323;1;53;53
1,84221;6,10749;1,00182;3,00672;0,000340617;1;48;48
-1,01219;1,71149;0,994378;2,9964;0,000384719;1;46;46
-4,14198;6,76827;0,994129;3,0043;6,28208e-05;1;53;53
-0,117178;6,67365;0,997873;3,00699;0,00014821;1;49;49
3,47408;0,0261764;1,00415;2,99502;4,48126e-05;1;50;50
-6,27283;-9,89967;0,996606;2,99398;0,000402153;1;60;60
-3,12403;6,379;0,994649;3,00438;5,15899e-05;1;52;52
1,38877;-9,25761;1,00021;2,9935;0,000200715;1;59;59
1,63373;-7,69595;1,00038;2,99356;0,000188723;1;58;58
7,25445;-6,98104;1,00377;2,99399;7,05405e-05;1;58;58
-6,64717;-0,134449;0,993238;2,99723;0,000416914;1;55;55
0,37834;4,92076;0,997757;3,00693;0,000140916;1;44;44
9,9798;4,45828;1,00699;3,00113;0,000313959;1;56;56
3,77317;-5,28298;1,00216;2,99356;0,00011971;1;56;56
-4,31136;-7,56975;0,9968;2,99363;0,000417084;1;58;58
8,27945;0,129509;1,00644;2,99746;0,000108659;1;55;55
8,28788;-1,80477;1,00567;2,99626;6,10644e-05;1;56;56
3,00194;-9,85163;1,00106;2,99319;0,000179953;1;59;59
-8,46034;9,44256;0,9943;3,00388;6,07897e-05;1;58;58
-4,07248;5,06131;0,993419;3,00267;0,000111524;1;52;52
7,85261;6,75599;1,00606;3,00332;0,000399682;1;55;55
